Species,Common name,Species Taxonomy ID,Taxonomic Lineage,Assembly name,NCBI accession / source,contig N50 (bp),scaffold N50 (bp),reference
Allenopithecus nigroviridis,Allens swamp monkey,54135,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Allenopithecus,HLallNig1,DNA Zoo Consortium,47878,115073448,human
Alouatta palliata,mantled howler monkey,30589,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Alouattinae; Alouatta,HLaloPal1,GCA_004027835.1,51304,72427,human
Ammotragus lervia,aoudad,9899,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ammotragus,HLammLer1,GCA_002201775.1,52017,1301762,human
Anoura caudifer,tailed tailless bat,27642,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Glossophaginae; Anoura,HLanoCau1,GCA_004027475.1,143417,185021,human
Antechinus flavipes,yellow-footed antechinus,38775,Mammalia; Theria; Metatheria; Dasyuromorphia; Dasyuridae; Antechinus,HLantFla1,GCA_016432865.1,51843704,636717922,human
Antidorcas marsupialis,springbok,59523,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Antidorcas,HLantMar1,GCA_006408585.1,42749,694905,human
Antilocapra americana,pronghorn,9891,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Antilocapridae; Antilocapra,HLantAme1,GCA_007570785.1,220431,18739554,human
Antrozous pallidus,pallid bat,9440,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Antrozous,HLantPal1,GCA_007922775.1,13442,13958,human
Aonyx cinereus,Asian small-clawed otter,452597,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Aonyx,HLaonCin1,DNA Zoo Consortium,68934,130942447,human
Aotus nancymaae,Mas night monkey,37293,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Aotidae; Aotus,aotNan1,GCF_000952055.2,126456,8268663,human
Aplodontia rufa,mountain beaver,51342,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Aplodontiidae; Aplodontia,HLaplRuf1,GCA_004027875.1,33245,37811,human
Apodemus sylvaticus,European woodmouse,10129,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Apodemus; Sylvaemus group,HLapoSyl1,GCA_001305905.1,1208,245982,human
Arctocephalus gazella,antarctic fur seal,37190,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Otariidae; Arctocephalus,HLarcGaz2,GCA_900642305.1,537425,139181869,human
Artibeus jamaicensis,Jamaican fruit-eating bat,9417,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Artibeus,HLartJam1,GCA_004027435.1,32365,35347,human
Artibeus jamaicensis,Jamaican fruit-eating bat,9417,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Artibeus,HLartJam2,GCA_014825515.1,374929,2589479,human
Arvicanthis niloticus,African grass rat,61156,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Arvicanthis,HLarvNil1,GCA_011762505.1,11143170,82689117,human
Arvicanthis niloticus,African grass rat,61156,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Arvicanthis,HLarvNil1B,GCA_011750645.1,8920743,80178650,human
Arvicola amphibius,Eurasian water mole,1047088,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Arvicola,HLarvAmp1,GCA_903992535.1,5392280,138658583,human
Aselliscus stoliczkanus,Stoliczkas trident bat,188568,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Hipposideridae; Aselliscus,HLaseSto2,GCA_043727835.1,64984936,162130651,human
Ateles belzebuth,White-bellied spider monkey,9507,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles,HLateBel1,GCA_963573605.1,51917,51919,human
Ateles chamek,Black spider monkey,118643,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles,HLateCha1,GCA_963574935.1,51908,51921,human
Ateles geoffroyi,black-handed spider monkey,9509,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles,HLateGeo1,GCA_004024785.1,59033,73111,human
Ateles marginatus,White-cheeked spider monkey,1529884,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles,HLateMar1,GCA_963573555.1,53900,53900,human
Ateles paniscus,Red-faced black spider monkey,9510,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles,HLatePan1,GCA_963573985.1,58585,58589,human
Axis porcinus,Hog deer,57737,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Axis,HLaxiPor1,GCA_003798545.1,172761,20764858,human
Babyrousa celebensis,North Sulawesi babirusa,1303000,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Suina; Suidae; Babyrousa,HLbabCel1,DNA Zoo Consortium,52115,112896847,human
Balaena mysticetus,bowhead whale,27602,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Balaena,HLbalMys1,http://alfred.liv.ac.uk/downloads/bowhead_whale/bowhead_whale_scaffolds.zip,33808,876686,human
Balaenoptera acutorostrata scammoni,minke whale,310752,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera; Balaenoptera acutorostrata,balAcu1,GCF_000493695.1,22690,12843668,human
Balaenoptera bonaerensis,Antarctic minke whale,33556,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera,HLbalBon1,GCA_000978805.1,8410,20082,human
Balaenoptera edeni,pygmy Brydes whale,9769,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera,HLbalEde1,DNA Zoo Consortium,70721,99560599,human
Balaenoptera musculus,Blue whale,9771,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera,HLbalMus1,GCA_009873245.1,5963936,110470125,human
Balaenoptera musculus,Blue whale,9771,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera,HLbalMus2,GCF_009873245.2,6315640,110314666,human
Balaenoptera musculus,Blue whale,9771,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera,HLbalMus2B,GCA_008658375.2,275582,275582,human
Balaenoptera musculus,Blue whale,9771,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera,HLbalMus3,CNGB Sequence Archive,94743,8279331,human
Balaenoptera physalus,Fin whale,9770,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera,HLbalPhy1,GCA_008795845.1,4493,871016,human
Bassariscus astutus,ringtail,55047,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Bassariscus,HLbasAst1,DNA Zoo Consortium,39652,101529512,human
Bassariscus sumichrasti,Cacomistle,392507,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Bassariscus,HLbasSum1,DNA Zoo Consortium,44551,125116104,human
Beatragus hunteri,Hirola,59527,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Alcelaphinae; Beatragus,HLbeaHun1,GCA_004027495.1,57444,69303,human
Bison bison bison,American bison,43346,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bison; Bison bison,HLbisBisBis2,DNA Zoo Consortium,18165,101686351,human
Bison bison bison,American bison,43346,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bison; Bison bison,bisBis1,GCF_000754665.1,19971,7192658,human
Bos frontalis,gayal,30520,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos,HLbosFro1,GCA_007844835.1,28709,1003348,human
Bos gaurus,gaur,9904,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos,HLbosGau1,GCA_014182915.1,13340585,104471907,human
Bos grunniens,domestic yak,30521,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos,HLbosGru1,GCA_005887515.2,44716738,114386978,human
Bos indicus,zebu cattle,9915,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos,HLbosInd2,GCA_002933975.1,64498,104295553,human
Bos mutus,wild yak,72004,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos,HLbosMut2,GCA_007646595.3,90625,16589160,human
Bos taurus,cattle,9913,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos,bosTau9,GCF_002263795.1,25896116,103308737,human
Bradypus torquatus,Maned three-toed sloth,227087,Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Folivora; Bradypodidae; Bradypus,HLbraTor4,GCA_963992745.1,4748776,156600181,human
Bubalus bubalis,water buffalo,89462,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bubalus,HLbubBub2,GCA_003121395.1,22441509,117219835,human
Cacajao ayresi,Primates,535896,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Pitheciinae; Cacajao,HLcacAyr1,GCA_963573425.1,76643,76643,human
Cacajao calvus,Bald Uacari,30596,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Pitheciinae; Cacajao,HLcacCal1,GCA_963573955.1,68772,68795,human
Cacajao hosomi,Primates,535897,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Pitheciinae; Cacajao,HLcacHos1,GCA_963573795.1,71453,71457,human
Cacajao melanocephalus,Black-headed Uacari,70825,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Pitheciinae; Cacajao,HLcacMel1,GCA_963573385.1,71276,71282,human
Callimico goeldii,Goeldis marmoset,9495,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callimico,HLcalGoe1,DNA Zoo Consortium,46120,111553634,human
Callithrix jacchus,white-tufted-ear marmoset,9483,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Callithrix,HLcalJac4,GCA_011100555.1,13255626,136971485,human
Callithrix jacchus,white-tufted-ear marmoset,9483,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Callithrix,HLcalJac5,GCF_011100555.1,13222669,136971485,human
Callithrix jacchus,white-tufted-ear marmoset,9483,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Callithrix,calJac4,GCF_009663435.1,25227091,98198953,human
Callithrix penicillata,Black-pencilled marmoset,57378,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Callithrix,HLcalPen1,GCA_046862485.1,32659,124262003,human
Callithrix pygmaea,pygmy marmoset,9493,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Cebuella,HLcalPym1,DNA Zoo Consortium,56835,118608034,human
Callorhinus ursinus,northern fur seal,34884,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Otariidae; Callorhinus,HLcalUrs1,GCA_003265705.1,133024,31506801,human
Callospermophilus lateralis,Golden-mantled ground squirrel,76772,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Callospermophilus,HLcalLat1A,GCA_048772815.1,6579271,94176142,human
Callospermophilus lateralis,Golden-mantled ground squirrel,76772,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Callospermophilus,HLcalLat1B,GCA_048772825.1,13623428,114988597,human
Camelus bactrianus,Bactrian camel,9837,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Camelus,HLcamBac1,GCA_000767855.1,139019,8812066,human
Camelus dromedarius,Arabian camel,9838,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Camelus,HLcamDro2,GCA_000803125.3,236391,70369702,human
Camelus dromedarius,Arabian camel,9838,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Camelus,HLcamDro3A,GCF_036321535.1,31216184,72991593,human
Camelus ferus,Wild Bactrian camel,419612,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Camelus,HLcamFer3,GCA_009834535.1,5365398,76025729,human
Canis latrans,Coyote,9614,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis,HLcanLat1,GCA_034620425.1,42015997,64494502,human
Canis lupus dingo,dingo,286419,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis; Canis lupus,HLcanLupDin1,GCA_003254725.1,5390770,34446301,human
Canis lupus dingo,dingo,286419,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis; Canis lupus,HLcanLupDin2,DNA Zoo Consortium,5374581,63865217,human
Canis lupus familiaris,Dog,9615,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis; Canis lupus,HLcanLupFam7,GCF_014441545.1,12024593,64037277,human
Canis lupus familiaris,dog,9615,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis; Canis lupus,canFam3,GCF_000002285.3,267478,45876610,human
Canis lupus familiaris,dog,9615,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis; Canis lupus,canFam4,GCA_011100685.1,14840767,64299765,human
Canis lupus familiaris,dog,9615,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis; Canis lupus,canFam5,GCA_005444595.1,4722218,64204256,human
Canis lupus familiaris,dog,9615,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis; Canis lupus,canFam6,GCF_000002285.5,26759743,63738581,human
Capra aegagrus,wild goat,9923,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra,HLcapAeg1,GCA_000765075.1,51868,1750063,human
Capra hircus,goat,9925,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra,HLcapHir2,GCA_001704415.1,26244591,87277232,human
Capra ibex,Alpine ibex,72542,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra,HLcapIbe1,GCA_006410555.1,380983,61905114,human
Capra sibirica,Siberian ibex,72544,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra,HLcapSib1,GCA_003182615.2,376582,15190720,human
Capreolus pygargus,Eastern roe deer,48560,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Capreolus,HLcapPyg1,GCA_012922965.1,80310,6067221,human
Carlito syrichta,Philippine tarsier,1868482,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Tarsiiformes; Tarsiidae; Carlito,tarSyr2,GCF_000164805.1,38165,401181,human
Carollia perspicillata,Sebas short-tailed bat,40233,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Carolliinae; Carollia,HLcarPer3,GCA_004027735.1,10341,10739,human
Castor canadensis,American beaver,51338,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Castoridae; Castor,HLcasCan3,DNA Zoo Consortium,266367,136673807,human
Catagonus wagneri,Chacoan peccary,51154,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Suina; Tayassuidae; Catagonus,HLcatWag1,GCA_004024745.2,65965,19204659,human
Cavia aperea,Brazilian guinea pig,37548,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Cavia,cavApe1,GCA_000688575.1,1039,27928671,human
Cavia porcellus,domestic guinea pig,10141,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Cavia,cavPor3,GCF_000151735.1,80583,27942054,human
Cavia tschudii,Montane guinea pig,143287,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Cavia,HLcavTsc1,GCA_004027695.1,64807,91436,human
Cebus albifrons,white-fronted capuchin,9514,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Cebinae; Cebus,HLcebAlb1,GCA_004027755.1,25652,31156,human
Cebus albifrons,white-fronted capuchin,9514,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Cebinae; Cebus,HLcebAlb2,GCA_023783575.1,18502463,18502463,human
Cebus capucinus imitator,white-faced sapajou,1737458,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Cebinae; Cebus; Cebus capucinus,cebCap1,GCF_001604975.1,41196,5274112,human
Cephalopachus bancanus,Horsfields tarsier,9477,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Tarsiiformes; Tarsiidae; Cephalopachus,HLcepBan1,GCA_027257055.1,5252243,5252243,human
Cephalophus harveyi,Harveys duiker,129224,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Cephalophinae; Cephalophus,HLcepHar1,GCA_006410635.1,61368,365466,human
Cephalorhynchus commersonii,Commersons dolphin,103582,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Cephalorhynchus,HLcepCom1,DNA Zoo Consortium,91726,104003720,human
Ceratotherium simum cottoni,northern white rhinoceros,310713,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Ceratotherium; Ceratotherium simum,HLcerSimCot1,GCA_004027795.1,21199,23005,human
Ceratotherium simum cottoni,northern white rhinoceros,310713,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Ceratotherium; Ceratotherium simum,HLcerSimCot2,GCA_021442165.1,16022912,65935509,human
Ceratotherium simum simum,southern white rhinoceros,73337,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Ceratotherium; Ceratotherium simum,cerSim1,GCF_000283155.1,92960,26277727,human
Cercocebus atys,sooty mangabey,9531,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Cercocebus,cerAty1,GCF_000955945.1,112942,12849131,human
Cercopithecus albogularis,Sykes monkey,867370,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Cercopithecus,HLcerAlb1,GCA_023783535.1,13914891,13914891,human
Cercopithecus mona,Mona monkey,36226,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Cercopithecus,HLcerMon1,GCA_014849445.1,22791723,22791723,human
Cercopithecus neglectus,De Brazzas monkey,36227,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Cercopithecus,HLcerNeg1,GCA_004027615.1,9789,10270,human
Cervus elaphus hippelaphus,red deer,46360,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Cervus; Cervus elaphus,HLcerEla1,GCA_002197005.1,7944,107358006,human
Cervus hanglu yarkandensis,Yarkand deer,84702,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Cervus; Cervus hanglu,HLcerHanYar1,GCA_010411085.1,268660,77688133,human
Cheirogaleus medius,Lesser dwarf lemur,9460,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Cheirogaleus,HLcheMed1,GCA_008086735.1,34905,48318266,human
Cheracebus lucifer,Primates,2487712,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Cheracebus,HLcheLuc1,GCA_963573755.1,46755,46755,human
Cheracebus lugens,Black titi,210166,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Cheracebus,HLcheLug1,GCA_963574535.1,58812,58813,human
