GenBank	RefSeq	UCSC	Ensembl	Gencode
AAEX03021041.1	NW_003726496.1	chrUn_AAEX03021041	AAEX03021041.1	AAEX03021041.1
AAEX03021042.1	NW_003726497.1	chrUn_AAEX03021042	AAEX03021042.1	AAEX03021042.1
AAEX03021043.1	NW_003726498.1	chrUn_AAEX03021043	AAEX03021043.1	AAEX03021043.1
AAEX03021044.1	NW_003726499.1	chrUn_AAEX03021044	AAEX03021044.1	AAEX03021044.1
AAEX03021070.1	NW_003726505.1	chrUn_AAEX03021070	AAEX03021070.1	AAEX03021070.1
AAEX03021071.1	NW_003726506.1	chrUn_AAEX03021071	AAEX03021071.1	AAEX03021071.1
AAEX03021077.1	NW_003726508.1	chrUn_AAEX03021077	AAEX03021077.1	AAEX03021077.1
AAEX03021094.1	NW_003726511.1	chrUn_AAEX03021094	AAEX03021094.1	AAEX03021094.1
AAEX03021108.1	NW_003726514.1	chrUn_AAEX03021108	AAEX03021108.1	AAEX03021108.1
AAEX03021139.1	NW_003726520.1	chrUn_AAEX03021139	AAEX03021139.1	AAEX03021139.1
AAEX03021187.1	NW_003726529.1	chrUn_AAEX03021187	AAEX03021187.1	AAEX03021187.1
AAEX03021193.1	NW_003726531.1	chrUn_AAEX03021193	AAEX03021193.1	AAEX03021193.1
AAEX03021208.1	NW_003726534.1	chrUn_AAEX03021208	AAEX03021208.1	AAEX03021208.1
AAEX03021227.1	NW_003726539.1	chrUn_AAEX03021227	AAEX03021227.1	AAEX03021227.1
AAEX03021268.1	NW_003726547.1	chrUn_AAEX03021268	AAEX03021268.1	AAEX03021268.1
AAEX03021281.1	NW_003726549.1	chrUn_AAEX03021281	AAEX03021281.1	AAEX03021281.1
AAEX03021282.1	NW_003726550.1	chrUn_AAEX03021282	AAEX03021282.1	AAEX03021282.1
AAEX03021317.1	NW_003726554.1	chrUn_AAEX03021317	AAEX03021317.1	AAEX03021317.1
AAEX03021318.1	NW_003726555.1	chrUn_AAEX03021318	AAEX03021318.1	AAEX03021318.1
AAEX03021345.1	NW_003726559.1	chrUn_AAEX03021345	AAEX03021345.1	AAEX03021345.1
AAEX03021372.1	NW_003726564.1	chrUn_AAEX03021372	AAEX03021372.1	AAEX03021372.1
AAEX03021408.1	NW_003726573.1	chrUn_AAEX03021408	AAEX03021408.1	AAEX03021408.1
AAEX03021437.1	NW_003726579.1	chrUn_AAEX03021437	AAEX03021437.1	AAEX03021437.1
AAEX03021458.1	NW_003726584.1	chrUn_AAEX03021458	AAEX03021458.1	AAEX03021458.1
AAEX03021463.1	NW_003726586.1	chrUn_AAEX03021463	AAEX03021463.1	AAEX03021463.1
AAEX03021489.1	NW_003726592.1	chrUn_AAEX03021489	AAEX03021489.1	AAEX03021489.1
AAEX03021504.1	NW_003726595.1	chrUn_AAEX03021504	AAEX03021504.1	AAEX03021504.1
AAEX03021513.1	NW_003726597.1	chrUn_AAEX03021513	AAEX03021513.1	AAEX03021513.1
AAEX03021540.1	NW_003726602.1	chrUn_AAEX03021540	AAEX03021540.1	AAEX03021540.1
AAEX03021579.1	NW_003726607.1	chrUn_AAEX03021579	AAEX03021579.1	AAEX03021579.1
AAEX03021599.1	NW_003726613.1	chrUn_AAEX03021599	AAEX03021599.1	AAEX03021599.1
AAEX03021648.1	NW_003726618.1	chrUn_AAEX03021648	AAEX03021648.1	AAEX03021648.1
AAEX03021649.1	NW_003726619.1	chrUn_AAEX03021649	AAEX03021649.1	AAEX03021649.1
AAEX03021660.1	NW_003726621.1	chrUn_AAEX03021660	AAEX03021660.1	AAEX03021660.1
AAEX03021682.1	NW_003726627.1	chrUn_AAEX03021682	AAEX03021682.1	AAEX03021682.1
AAEX03021701.1	NW_003726632.1	chrUn_AAEX03021701	AAEX03021701.1	AAEX03021701.1
AAEX03021719.1	NW_003726636.1	chrUn_AAEX03021719	AAEX03021719.1	AAEX03021719.1
AAEX03021736.1	NW_003726641.1	chrUn_AAEX03021736	AAEX03021736.1	AAEX03021736.1
AAEX03021737.1	NW_003726642.1	chrUn_AAEX03021737	AAEX03021737.1	AAEX03021737.1
AAEX03021761.1	NW_003726646.1	chrUn_AAEX03021761	AAEX03021761.1	AAEX03021761.1
AAEX03021790.1	NW_003726650.1	chrUn_AAEX03021790	AAEX03021790.1	AAEX03021790.1
AAEX03021800.1	NW_003726653.1	chrUn_AAEX03021800	AAEX03021800.1	AAEX03021800.1
AAEX03021807.1	NW_003726655.1	chrUn_AAEX03021807	AAEX03021807.1	AAEX03021807.1
AAEX03021822.1	NW_003726659.1	chrUn_AAEX03021822	AAEX03021822.1	AAEX03021822.1
AAEX03021841.1	NW_003726662.1	chrUn_AAEX03021841	AAEX03021841.1	AAEX03021841.1
AAEX03021842.1	NW_003726663.1	chrUn_AAEX03021842	AAEX03021842.1	AAEX03021842.1
AAEX03021849.1	NW_003726665.1	chrUn_AAEX03021849	AAEX03021849.1	AAEX03021849.1
AAEX03021853.1	NW_003726667.1	chrUn_AAEX03021853	AAEX03021853.1	AAEX03021853.1
AAEX03021854.1	NW_003726668.1	chrUn_AAEX03021854	AAEX03021854.1	AAEX03021854.1
AAEX03021871.1	NW_003726673.1	chrUn_AAEX03021871	AAEX03021871.1	AAEX03021871.1
AAEX03021919.1	NW_003726682.1	chrUn_AAEX03021919	AAEX03021919.1	AAEX03021919.1
AAEX03021932.1	NW_003726686.1	chrUn_AAEX03021932	AAEX03021932.1	AAEX03021932.1
AAEX03021979.1	NW_003726693.1	chrUn_AAEX03021979	AAEX03021979.1	AAEX03021979.1
AAEX03021980.1	NW_003726694.1	chrUn_AAEX03021980	AAEX03021980.1	AAEX03021980.1
AAEX03021981.1	NW_003726695.1	chrUn_AAEX03021981	AAEX03021981.1	AAEX03021981.1
AAEX03022003.1	NW_003726701.1	chrUn_AAEX03022003	AAEX03022003.1	AAEX03022003.1
AAEX03022020.1	NW_003726706.1	chrUn_AAEX03022020	AAEX03022020.1	AAEX03022020.1
AAEX03022030.1	NW_003726709.1	chrUn_AAEX03022030	AAEX03022030.1	AAEX03022030.1
AAEX03022031.1	NW_003726710.1	chrUn_AAEX03022031	AAEX03022031.1	AAEX03022031.1
AAEX03022032.1	NW_003726711.1	chrUn_AAEX03022032	AAEX03022032.1	AAEX03022032.1
AAEX03022033.1	NW_003726712.1	chrUn_AAEX03022033	AAEX03022033.1	AAEX03022033.1
AAEX03022043.1	NW_003726715.1	chrUn_AAEX03022043	AAEX03022043.1	AAEX03022043.1
AAEX03022044.1	NW_003726716.1	chrUn_AAEX03022044	AAEX03022044.1	AAEX03022044.1
AAEX03022057.1	NW_003726719.1	chrUn_AAEX03022057	AAEX03022057.1	AAEX03022057.1
AAEX03022060.1	NW_003726721.1	chrUn_AAEX03022060	AAEX03022060.1	AAEX03022060.1
AAEX03022061.1	NW_003726722.1	chrUn_AAEX03022061	AAEX03022061.1	AAEX03022061.1
AAEX03022062.1	NW_003726723.1	chrUn_AAEX03022062	AAEX03022062.1	AAEX03022062.1
AAEX03022063.1	NW_003726724.1	chrUn_AAEX03022063	AAEX03022063.1	AAEX03022063.1
AAEX03022069.1	NW_003726726.1	chrUn_AAEX03022069	AAEX03022069.1	AAEX03022069.1
AAEX03022081.1	NW_003726728.1	chrUn_AAEX03022081	AAEX03022081.1	AAEX03022081.1
AAEX03022082.1	NW_003726729.1	chrUn_AAEX03022082	AAEX03022082.1	AAEX03022082.1
AAEX03022083.1	NW_003726730.1	chrUn_AAEX03022083	AAEX03022083.1	AAEX03022083.1
AAEX03022093.1	NW_003726734.1	chrUn_AAEX03022093	AAEX03022093.1	AAEX03022093.1
AAEX03022122.1	NW_003726741.1	chrUn_AAEX03022122	AAEX03022122.1	AAEX03022122.1
AAEX03022123.1	NW_003726742.1	chrUn_AAEX03022123	AAEX03022123.1	AAEX03022123.1
AAEX03022139.1	NW_003726746.1	chrUn_AAEX03022139	AAEX03022139.1	AAEX03022139.1
AAEX03022140.1	NW_003726747.1	chrUn_AAEX03022140	AAEX03022140.1	AAEX03022140.1
AAEX03022141.1	NW_003726748.1	chrUn_AAEX03022141	AAEX03022141.1	AAEX03022141.1
AAEX03022149.1	NW_003726751.1	chrUn_AAEX03022149	AAEX03022149.1	AAEX03022149.1
AAEX03022156.1	NW_003726754.1	chrUn_AAEX03022156	AAEX03022156.1	AAEX03022156.1
AAEX03022157.1	NW_003726755.1	chrUn_AAEX03022157	AAEX03022157.1	AAEX03022157.1
AAEX03022171.1	NW_003726758.1	chrUn_AAEX03022171	AAEX03022171.1	AAEX03022171.1
AAEX03022189.1	NW_003726762.1	chrUn_AAEX03022189	AAEX03022189.1	AAEX03022189.1
AAEX03022193.1	NW_003726764.1	chrUn_AAEX03022193	AAEX03022193.1	AAEX03022193.1
AAEX03022194.1	NW_003726765.1	chrUn_AAEX03022194	AAEX03022194.1	AAEX03022194.1
AAEX03022195.1	NW_003726766.1	chrUn_AAEX03022195	AAEX03022195.1	AAEX03022195.1
AAEX03022202.1	NW_003726768.1	chrUn_AAEX03022202	AAEX03022202.1	AAEX03022202.1
AAEX03022203.1	NW_003726769.1	chrUn_AAEX03022203	AAEX03022203.1	AAEX03022203.1
AAEX03022204.1	NW_003726770.1	chrUn_AAEX03022204	AAEX03022204.1	AAEX03022204.1
AAEX03022211.1	NW_003726772.1	chrUn_AAEX03022211	AAEX03022211.1	AAEX03022211.1
AAEX03022212.1	NW_003726773.1	chrUn_AAEX03022212	AAEX03022212.1	AAEX03022212.1
AAEX03022213.1	NW_003726774.1	chrUn_AAEX03022213	AAEX03022213.1	AAEX03022213.1
AAEX03022216.1	NW_003726776.1	chrUn_AAEX03022216	AAEX03022216.1	AAEX03022216.1
AAEX03022223.1	NW_003726778.1	chrUn_AAEX03022223	AAEX03022223.1	AAEX03022223.1
AAEX03022239.1	NW_003726782.1	chrUn_AAEX03022239	AAEX03022239.1	AAEX03022239.1
AAEX03022240.1	NW_003726783.1	chrUn_AAEX03022240	AAEX03022240.1	AAEX03022240.1
AAEX03022241.1	NW_003726784.1	chrUn_AAEX03022241	AAEX03022241.1	AAEX03022241.1
AAEX03022242.1	NW_003726785.1	chrUn_AAEX03022242	AAEX03022242.1	AAEX03022242.1
AAEX03022243.1	NW_003726786.1	chrUn_AAEX03022243	AAEX03022243.1	AAEX03022243.1
AAEX03022244.1	NW_003726787.1	chrUn_AAEX03022244	AAEX03022244.1	AAEX03022244.1
AAEX03022256.1	NW_003726790.1	chrUn_AAEX03022256	AAEX03022256.1	AAEX03022256.1
AAEX03022262.1	NW_003726792.1	chrUn_AAEX03022262	AAEX03022262.1	AAEX03022262.1
AAEX03022277.1	NW_003726796.1	chrUn_AAEX03022277	AAEX03022277.1	AAEX03022277.1
AAEX03022291.1	NW_003726799.1	chrUn_AAEX03022291	AAEX03022291.1	AAEX03022291.1
AAEX03022299.1	NW_003726802.1	chrUn_AAEX03022299	AAEX03022299.1	AAEX03022299.1
AAEX03022300.1	NW_003726803.1	chrUn_AAEX03022300	AAEX03022300.1	AAEX03022300.1
AAEX03022301.1	NW_003726804.1	chrUn_AAEX03022301	AAEX03022301.1	AAEX03022301.1
AAEX03022317.1	NW_003726808.1	chrUn_AAEX03022317	AAEX03022317.1	AAEX03022317.1
AAEX03022329.1	NW_003726812.1	chrUn_AAEX03022329	AAEX03022329.1	AAEX03022329.1
AAEX03022332.1	NW_003726814.1	chrUn_AAEX03022332	AAEX03022332.1	AAEX03022332.1
AAEX03022348.1	NW_003726818.1	chrUn_AAEX03022348	AAEX03022348.1	AAEX03022348.1
AAEX03022357.1	NW_003726820.1	chrUn_AAEX03022357	AAEX03022357.1	AAEX03022357.1
AAEX03022358.1	NW_003726821.1	chrUn_AAEX03022358	AAEX03022358.1	AAEX03022358.1
AAEX03022359.1	NW_003726822.1	chrUn_AAEX03022359	AAEX03022359.1	AAEX03022359.1
AAEX03022368.1	NW_003726824.1	chrUn_AAEX03022368	AAEX03022368.1	AAEX03022368.1
AAEX03022378.1	NW_003726826.1	chrUn_AAEX03022378	AAEX03022378.1	AAEX03022378.1
AAEX03022381.1	NW_003726828.1	chrUn_AAEX03022381	AAEX03022381.1	AAEX03022381.1
AAEX03022384.1	NW_003726830.1	chrUn_AAEX03022384	AAEX03022384.1	AAEX03022384.1
AAEX03022390.1	NW_003726832.1	chrUn_AAEX03022390	AAEX03022390.1	AAEX03022390.1
AAEX03022391.1	NW_003726833.1	chrUn_AAEX03022391	AAEX03022391.1	AAEX03022391.1
AAEX03022392.1	NW_003726834.1	chrUn_AAEX03022392	AAEX03022392.1	AAEX03022392.1
AAEX03022395.1	NW_003726836.1	chrUn_AAEX03022395	AAEX03022395.1	AAEX03022395.1
AAEX03022415.1	NW_003726841.1	chrUn_AAEX03022415	AAEX03022415.1	AAEX03022415.1
AAEX03022441.1	NW_003726847.1	chrUn_AAEX03022441	AAEX03022441.1	AAEX03022441.1
AAEX03022442.1	NW_003726848.1	chrUn_AAEX03022442	AAEX03022442.1	AAEX03022442.1
AAEX03022448.1	NW_003726850.1	chrUn_AAEX03022448	AAEX03022448.1	AAEX03022448.1
AAEX03022456.1	NW_003726852.1	chrUn_AAEX03022456	AAEX03022456.1	AAEX03022456.1
AAEX03022474.1	NW_003726856.1	chrUn_AAEX03022474	AAEX03022474.1	AAEX03022474.1
AAEX03022475.1	NW_003726857.1	chrUn_AAEX03022475	AAEX03022475.1	AAEX03022475.1
AAEX03022476.1	NW_003726858.1	chrUn_AAEX03022476	AAEX03022476.1	AAEX03022476.1
AAEX03022477.1	NW_003726859.1	chrUn_AAEX03022477	AAEX03022477.1	AAEX03022477.1
AAEX03022483.1	NW_003726862.1	chrUn_AAEX03022483	AAEX03022483.1	AAEX03022483.1
AAEX03022489.1	NW_003726865.1	chrUn_AAEX03022489	AAEX03022489.1	AAEX03022489.1
AAEX03022496.1	NW_003726869.1	chrUn_AAEX03022496	AAEX03022496.1	AAEX03022496.1
AAEX03022555.1	NW_003726880.1	chrUn_AAEX03022555	AAEX03022555.1	AAEX03022555.1
AAEX03022578.1	NW_003726886.1	chrUn_AAEX03022578	AAEX03022578.1	AAEX03022578.1
AAEX03022579.1	NW_003726887.1	chrUn_AAEX03022579	AAEX03022579.1	AAEX03022579.1
AAEX03022582.1	NW_003726889.1	chrUn_AAEX03022582	AAEX03022582.1	AAEX03022582.1
AAEX03022592.1	NW_003726891.1	chrUn_AAEX03022592	AAEX03022592.1	AAEX03022592.1
AAEX03022606.1	NW_003726895.1	chrUn_AAEX03022606	AAEX03022606.1	AAEX03022606.1
AAEX03022624.1	NW_003726901.1	chrUn_AAEX03022624	AAEX03022624.1	AAEX03022624.1
AAEX03022630.1	NW_003726903.1	chrUn_AAEX03022630	AAEX03022630.1	AAEX03022630.1
AAEX03022651.1	NW_003726907.1	chrUn_AAEX03022651	AAEX03022651.1	AAEX03022651.1
AAEX03022659.1	NW_003726909.1	chrUn_AAEX03022659	AAEX03022659.1	AAEX03022659.1
AAEX03022691.1	NW_003726918.1	chrUn_AAEX03022691	AAEX03022691.1	AAEX03022691.1
AAEX03022692.1	NW_003726919.1	chrUn_AAEX03022692	AAEX03022692.1	AAEX03022692.1
AAEX03022706.1	NW_003726923.1	chrUn_AAEX03022706	AAEX03022706.1	AAEX03022706.1
AAEX03022707.1	NW_003726924.1	chrUn_AAEX03022707	AAEX03022707.1	AAEX03022707.1
AAEX03022712.1	NW_003726927.1	chrUn_AAEX03022712	AAEX03022712.1	AAEX03022712.1
AAEX03022713.1	NW_003726928.1	chrUn_AAEX03022713	AAEX03022713.1	AAEX03022713.1
AAEX03022724.1	NW_003726932.1	chrUn_AAEX03022724	AAEX03022724.1	AAEX03022724.1
AAEX03022735.1	NW_003726935.1	chrUn_AAEX03022735	AAEX03022735.1	AAEX03022735.1
AAEX03022738.1	NW_003726937.1	chrUn_AAEX03022738	AAEX03022738.1	AAEX03022738.1
AAEX03022739.1	NW_003726938.1	chrUn_AAEX03022739	AAEX03022739.1	AAEX03022739.1
AAEX03022740.1	NW_003726939.1	chrUn_AAEX03022740	AAEX03022740.1	AAEX03022740.1
AAEX03022741.1	NW_003726940.1	chrUn_AAEX03022741	AAEX03022741.1	AAEX03022741.1
AAEX03022742.1	NW_003726941.1	chrUn_AAEX03022742	AAEX03022742.1	AAEX03022742.1
AAEX03022743.1	NW_003726942.1	chrUn_AAEX03022743	AAEX03022743.1	AAEX03022743.1
AAEX03022744.1	NW_003726943.1	chrUn_AAEX03022744	AAEX03022744.1	AAEX03022744.1
AAEX03022745.1	NW_003726944.1	chrUn_AAEX03022745	AAEX03022745.1	AAEX03022745.1
AAEX03022754.1	NW_003726947.1	chrUn_AAEX03022754	AAEX03022754.1	AAEX03022754.1
AAEX03022755.1	NW_003726948.1	chrUn_AAEX03022755	AAEX03022755.1	AAEX03022755.1
AAEX03022756.1	NW_003726949.1	chrUn_AAEX03022756	AAEX03022756.1	AAEX03022756.1
AAEX03022759.1	NW_003726951.1	chrUn_AAEX03022759	AAEX03022759.1	AAEX03022759.1
AAEX03022760.1	NW_003726952.1	chrUn_AAEX03022760	AAEX03022760.1	AAEX03022760.1
AAEX03022761.1	NW_003726953.1	chrUn_AAEX03022761	AAEX03022761.1	AAEX03022761.1
AAEX03022764.1	NW_003726955.1	chrUn_AAEX03022764	AAEX03022764.1	AAEX03022764.1
AAEX03022777.1	NW_003726959.1	chrUn_AAEX03022777	AAEX03022777.1	AAEX03022777.1
AAEX03022778.1	NW_003726960.1	chrUn_AAEX03022778	AAEX03022778.1	AAEX03022778.1
AAEX03022785.1	NW_003726962.1	chrUn_AAEX03022785	AAEX03022785.1	AAEX03022785.1
AAEX03022786.1	NW_003726963.1	chrUn_AAEX03022786	AAEX03022786.1	AAEX03022786.1
AAEX03022787.1	NW_003726964.1	chrUn_AAEX03022787	AAEX03022787.1	AAEX03022787.1
AAEX03022788.1	NW_003726965.1	chrUn_AAEX03022788	AAEX03022788.1	AAEX03022788.1
AAEX03022814.1	NW_003726971.1	chrUn_AAEX03022814	AAEX03022814.1	AAEX03022814.1
AAEX03022820.1	NW_003726973.1	chrUn_AAEX03022820	AAEX03022820.1	AAEX03022820.1
AAEX03022821.1	NW_003726974.1	chrUn_AAEX03022821	AAEX03022821.1	AAEX03022821.1
AAEX03022822.1	NW_003726975.1	chrUn_AAEX03022822	AAEX03022822.1	AAEX03022822.1
AAEX03022848.1	NW_003726980.1	chrUn_AAEX03022848	AAEX03022848.1	AAEX03022848.1
AAEX03022849.1	NW_003726981.1	chrUn_AAEX03022849	AAEX03022849.1	AAEX03022849.1
AAEX03022858.1	NW_003726983.1	chrUn_AAEX03022858	AAEX03022858.1	AAEX03022858.1
