GenBank	RefSeq	UCSC	Ensembl	Gencode
AAEX04000049.1	NW_023329750.1	chrUn_NW_023329750v1	AAEX04000049.1	AAEX04000049.1
AAEX04000050.1	NW_023329751.1	chrUn_NW_023329751v1	AAEX04000050.1	AAEX04000050.1
AAEX04000051.1	NW_023329753.1	chrUn_NW_023329753v1	AAEX04000051.1	AAEX04000051.1
AAEX04000052.1	NW_023329754.1	chrUn_NW_023329754v1	AAEX04000052.1	AAEX04000052.1
AAEX04000053.1	NW_023329755.1	chrUn_NW_023329755v1	AAEX04000053.1	AAEX04000053.1
AAEX04000054.1	NW_023329756.1	chrUn_NW_023329756v1	AAEX04000054.1	AAEX04000054.1
AAEX04000055.1	NW_023329757.1	chrUn_NW_023329757v1	AAEX04000055.1	AAEX04000055.1
AAEX04000056.1	NW_023329758.1	chrUn_NW_023329758v1	AAEX04000056.1	AAEX04000056.1
AAEX04000057.1	NW_023329759.1	chrUn_NW_023329759v1	AAEX04000057.1	AAEX04000057.1
AAEX04000058.1	NW_023329760.1	chrUn_NW_023329760v1	AAEX04000058.1	AAEX04000058.1
AAEX04000059.1	NW_023329761.1	chrUn_NW_023329761v1	AAEX04000059.1	AAEX04000059.1
AAEX04000060.1	NW_023329762.1	chrUn_NW_023329762v1	AAEX04000060.1	AAEX04000060.1
AAEX04000061.1	NW_023329763.1	chrUn_NW_023329763v1	AAEX04000061.1	AAEX04000061.1
AAEX04000062.1	NW_023329764.1	chrUn_NW_023329764v1	AAEX04000062.1	AAEX04000062.1
AAEX04000063.1	NW_023329765.1	chrUn_NW_023329765v1	AAEX04000063.1	AAEX04000063.1
AAEX04000064.1	NW_023329766.1	chrUn_NW_023329766v1	AAEX04000064.1	AAEX04000064.1
AAEX04000065.1	NW_023329767.1	chrUn_NW_023329767v1	AAEX04000065.1	AAEX04000065.1
AAEX04000066.1	NW_023329768.1	chrUn_NW_023329768v1	AAEX04000066.1	AAEX04000066.1
AAEX04000067.1	NW_023329769.1	chrUn_NW_023329769v1	AAEX04000067.1	AAEX04000067.1
AAEX04000068.1	NW_023329770.1	chrUn_NW_023329770v1	AAEX04000068.1	AAEX04000068.1
AAEX04000069.1	NW_023329771.1	chrUn_NW_023329771v1	AAEX04000069.1	AAEX04000069.1
AAEX04000070.1	NW_023329772.1	chrUn_NW_023329772v1	AAEX04000070.1	AAEX04000070.1
AAEX04000071.1	NW_023329773.1	chrUn_NW_023329773v1	AAEX04000071.1	AAEX04000071.1
AAEX04000072.1	NW_023329668.1	chrUn_NW_023329668v1	AAEX04000072.1	AAEX04000072.1
AAEX04000073.1	NW_023329669.1	chrUn_NW_023329669v1	AAEX04000073.1	AAEX04000073.1
AAEX04000074.1	NW_023329670.1	chrUn_NW_023329670v1	AAEX04000074.1	AAEX04000074.1
AAEX04000075.1	NW_023329671.1	chrUn_NW_023329671v1	AAEX04000075.1	AAEX04000075.1
AAEX04000076.1	NW_023329672.1	chrUn_NW_023329672v1	AAEX04000076.1	AAEX04000076.1
AAEX04000077.1	NW_023329673.1	chrUn_NW_023329673v1	AAEX04000077.1	AAEX04000077.1
AAEX04000078.1	NW_023329674.1	chrUn_NW_023329674v1	AAEX04000078.1	AAEX04000078.1
AAEX04000079.1	NW_023329675.1	chrUn_NW_023329675v1	AAEX04000079.1	AAEX04000079.1
AAEX04000080.1	NW_023329676.1	chrUn_NW_023329676v1	AAEX04000080.1	AAEX04000080.1
AAEX04000081.1	NW_023329677.1	chrUn_NW_023329677v1	AAEX04000081.1	AAEX04000081.1
AAEX04000082.1	NW_023329678.1	chrUn_NW_023329678v1	AAEX04000082.1	AAEX04000082.1
AAEX04000083.1	NW_023329679.1	chrUn_NW_023329679v1	AAEX04000083.1	AAEX04000083.1
AAEX04000084.1	NW_023329680.1	chrUn_NW_023329680v1	AAEX04000084.1	AAEX04000084.1
AAEX04000085.1	NW_023329681.1	chrUn_NW_023329681v1	AAEX04000085.1	AAEX04000085.1
AAEX04000086.1	NW_023329682.1	chrUn_NW_023329682v1	AAEX04000086.1	AAEX04000086.1
AAEX04000087.1	NW_023329683.1	chrUn_NW_023329683v1	AAEX04000087.1	AAEX04000087.1
AAEX04000088.1	NW_023329684.1	chrUn_NW_023329684v1	AAEX04000088.1	AAEX04000088.1
AAEX04000089.1	NW_023329685.1	chrUn_NW_023329685v1	AAEX04000089.1	AAEX04000089.1
AAEX04000090.1	NW_023329686.1	chrUn_NW_023329686v1	AAEX04000090.1	AAEX04000090.1
AAEX04000091.1	NW_023329687.1	chrUn_NW_023329687v1	AAEX04000091.1	AAEX04000091.1
AAEX04000092.1	NW_023329688.1	chrUn_NW_023329688v1	AAEX04000092.1	AAEX04000092.1
AAEX04000093.1	NW_023329689.1	chrUn_NW_023329689v1	AAEX04000093.1	AAEX04000093.1
AAEX04000094.1	NW_023329690.1	chrUn_NW_023329690v1	AAEX04000094.1	AAEX04000094.1
AAEX04000095.1	NW_023329691.1	chrUn_NW_023329691v1	AAEX04000095.1	AAEX04000095.1
AAEX04000096.1	NW_023329692.1	chrUn_NW_023329692v1	AAEX04000096.1	AAEX04000096.1
AAEX04000097.1	NW_023329693.1	chrUn_NW_023329693v1	AAEX04000097.1	AAEX04000097.1
AAEX04000098.1	NW_023329694.1	chrUn_NW_023329694v1	AAEX04000098.1	AAEX04000098.1
AAEX04000099.1	NW_023329695.1	chrUn_NW_023329695v1	AAEX04000099.1	AAEX04000099.1
AAEX04000100.1	NW_023329696.1	chrUn_NW_023329696v1	AAEX04000100.1	AAEX04000100.1
AAEX04000101.1	NW_023329697.1	chrUn_NW_023329697v1	AAEX04000101.1	AAEX04000101.1
AAEX04000102.1	NW_023329698.1	chrUn_NW_023329698v1	AAEX04000102.1	AAEX04000102.1
AAEX04000103.1	NW_023329699.1	chrUn_NW_023329699v1	AAEX04000103.1	AAEX04000103.1
AAEX04000104.1	NW_023329700.1	chrUn_NW_023329700v1	AAEX04000104.1	AAEX04000104.1
AAEX04000105.1	NW_023329701.1	chrUn_NW_023329701v1	AAEX04000105.1	AAEX04000105.1
AAEX04000106.1	NW_023329702.1	chrUn_NW_023329702v1	AAEX04000106.1	AAEX04000106.1
AAEX04000107.1	NW_023329703.1	chrUn_NW_023329703v1	AAEX04000107.1	AAEX04000107.1
AAEX04000108.1	NW_023329704.1	chrUn_NW_023329704v1	AAEX04000108.1	AAEX04000108.1
AAEX04000109.1	NW_023329705.1	chrUn_NW_023329705v1	AAEX04000109.1	AAEX04000109.1
AAEX04000110.1	NW_023329706.1	chrUn_NW_023329706v1	AAEX04000110.1	AAEX04000110.1
AAEX04000111.1	NW_023329707.1	chrUn_NW_023329707v1	AAEX04000111.1	AAEX04000111.1
AAEX04000112.1	NW_023329708.1	chrUn_NW_023329708v1	AAEX04000112.1	AAEX04000112.1
AAEX04000113.1	NW_023329709.1	chrUn_NW_023329709v1	AAEX04000113.1	AAEX04000113.1
AAEX04000114.1	NW_023329710.1	chrUn_NW_023329710v1	AAEX04000114.1	AAEX04000114.1
AAEX04000115.1	NW_023329711.1	chrUn_NW_023329711v1	AAEX04000115.1	AAEX04000115.1
AAEX04000116.1	NW_023329712.1	chrUn_NW_023329712v1	AAEX04000116.1	AAEX04000116.1
AAEX04000117.1	NW_023329713.1	chrUn_NW_023329713v1	AAEX04000117.1	AAEX04000117.1
AAEX04000118.1	NW_023329714.1	chrUn_NW_023329714v1	AAEX04000118.1	AAEX04000118.1
AAEX04000119.1	NW_023329715.1	chrUn_NW_023329715v1	AAEX04000119.1	AAEX04000119.1
AAEX04000120.1	NW_023329716.1	chrUn_NW_023329716v1	AAEX04000120.1	AAEX04000120.1
AAEX04000121.1	NW_023329717.1	chrUn_NW_023329717v1	AAEX04000121.1	AAEX04000121.1
AAEX04000122.1	NW_023329718.1	chrUn_NW_023329718v1	AAEX04000122.1	AAEX04000122.1
AAEX04000123.1	NW_023329719.1	chrUn_NW_023329719v1	AAEX04000123.1	AAEX04000123.1
AAEX04000124.1	NW_023329720.1	chrUn_NW_023329720v1	AAEX04000124.1	AAEX04000124.1
AAEX04000125.1	NW_023329721.1	chrUn_NW_023329721v1	AAEX04000125.1	AAEX04000125.1
AAEX04000126.1	NW_023329722.1	chrUn_NW_023329722v1	AAEX04000126.1	AAEX04000126.1
AAEX04000127.1	NW_023329723.1	chrUn_NW_023329723v1	AAEX04000127.1	AAEX04000127.1
AAEX04000128.1	NW_023329724.1	chrUn_NW_023329724v1	AAEX04000128.1	AAEX04000128.1
AAEX04000129.1	NW_023329725.1	chrUn_NW_023329725v1	AAEX04000129.1	AAEX04000129.1
AAEX04000130.1	NW_023329726.1	chrUn_NW_023329726v1	AAEX04000130.1	AAEX04000130.1
AAEX04000131.1	NW_023329728.1	chrUn_NW_023329728v1	AAEX04000131.1	AAEX04000131.1
AAEX04000132.1	NW_023329729.1	chrUn_NW_023329729v1	AAEX04000132.1	AAEX04000132.1
AAEX04000133.1	NW_023329730.1	chrUn_NW_023329730v1	AAEX04000133.1	AAEX04000133.1
AAEX04000134.1	NW_023329731.1	chrUn_NW_023329731v1	AAEX04000134.1	AAEX04000134.1
AAEX04000135.1	NW_023329732.1	chrUn_NW_023329732v1	AAEX04000135.1	AAEX04000135.1
AAEX04000136.1	NW_023329733.1	chrUn_NW_023329733v1	AAEX04000136.1	AAEX04000136.1
AAEX04000137.1	NW_023329734.1	chrUn_NW_023329734v1	AAEX04000137.1	AAEX04000137.1
AAEX04000138.1	NW_023329735.1	chrUn_NW_023329735v1	AAEX04000138.1	AAEX04000138.1
AAEX04000139.1	NW_023329736.1	chrUn_NW_023329736v1	AAEX04000139.1	AAEX04000139.1
AAEX04000140.1	NW_023329737.1	chrUn_NW_023329737v1	AAEX04000140.1	AAEX04000140.1
AAEX04000141.1	NW_023329738.1	chrUn_NW_023329738v1	AAEX04000141.1	AAEX04000141.1
AAEX04000142.1	NW_023329739.1	chrUn_NW_023329739v1	AAEX04000142.1	AAEX04000142.1
AAEX04000143.1	NW_023329740.1	chrUn_NW_023329740v1	AAEX04000143.1	AAEX04000143.1
AAEX04000144.1	NW_023329741.1	chrUn_NW_023329741v1	AAEX04000144.1	AAEX04000144.1
AAEX04000145.1	NW_023329742.1	chrUn_NW_023329742v1	AAEX04000145.1	AAEX04000145.1
CM023446.1	NC_002008.4	chrM	MT	chrM
